2T	Yobs	Ycalc	Yobs-Ycalc
10.061899	96.0	108.891846	-242.21592599999997
10.081899	136.0	101.31033	-194.63440999999997
10.101899	96.0	96.22391	-229.54798999999997
10.121899	122.0	92.562935	-199.88701499999996
10.141899	112.0	89.78168	-207.10575999999998
10.161899	92.0	87.591705	-224.91578499999997
10.181899	102.0	85.824196	-213.14827599999998
10.201899	100.0	84.370094	-213.69417399999998
10.221899	98.0	83.15438	-214.47845999999998
10.2418995	118.0	82.12354	-193.44761999999997
10.261899	112.0	81.23848	-198.56255999999996
10.281899	94.0	80.47002	-215.7941
10.301899	90.0	79.79603	-219.12010999999998
10.321899	100.0	79.19948	-208.52355999999997
10.341899	90.0	78.66705	-217.99113
10.361899	114.0	78.18824	-193.51232
10.381899	102.0	77.75463	-205.07871
10.401899	76.0	77.35943	-230.68350999999998
10.421899	100.0	76.99711	-206.32119
10.441899	110.0	76.66312	-195.98719999999997
10.461899	80.0	76.353676	-225.677756
10.481899	106.0	76.06566	-199.38973999999996
10.501899	102.0	75.796425	-203.12050499999998
10.521899	98.0	75.54374	-206.86782
10.541899	92.0	75.30571	-212.62978999999999
10.561899	76.0	75.08072	-228.40479999999997
10.581899	88.0	74.86739	-216.19146999999998
10.601899	74.0	74.66452	-229.98859999999996
10.621899	84.0	74.47108	-219.79515999999998
10.641899	90.0	74.28616	-213.61023999999998
10.661899	68.0	74.109	-235.43307999999996
10.681899	80.0	73.9389	-223.26297999999997
10.701899	110.0	73.77528	-193.09936
10.721899	96.0	73.6176	-206.94167999999996
10.7418995	86.0	73.46539	-216.78947
10.761899	72.0	73.31827	-230.64234999999996
10.781899	96.0	73.17585	-206.49992999999998
10.801899	90.0	73.03782	-212.3619
10.821899	72.0	72.90391	-230.22798999999998
10.841899	84.0	72.773865	-218.09794499999998
10.861899	86.0	72.64745	-215.97152999999997
10.881899	92.0	72.5245	-209.84857999999997
10.901899	76.0	72.40476	-225.72884
10.921899	88.0	72.28815	-213.61222999999998
10.941899	74.0	72.174484	-227.498564
10.961899	110.0	72.06367	-191.38774999999998
10.981899	86.0	71.95559	-215.27966999999998
11.001899	94.0	71.85015	-207.17422999999997
11.021899	88.0	71.74731	-213.07138999999998
11.041899	80.0	71.64691	-220.97098999999997
11.061899	94.0	71.54891	-206.87299
11.081899	86.0	71.45322	-214.77729999999997
11.101899	90.0	71.35977	-210.68384999999998
11.121899	70.0	71.268486	-230.59256599999998
11.141899	84.0	71.17926	-216.50333999999998
11.161899	96.0	71.091965	-204.416045
11.181899	94.0	71.006454	-206.330534
11.201899	100.0	70.92249	-200.24656999999996
11.221899	102.0	70.83978	-198.16386
11.2418995	100.0	70.75788	-200.08195999999998
11.261899	86.0	70.67618	-214.00025999999997
11.281899	100.0	70.593735	-199.91781499999996
11.301899	86.0	70.50916	-213.83324
11.321899	94.0	70.42024	-205.74432
11.341899	80.0	70.323265	-219.64734499999997
11.361899	74.0	70.209366	-225.53344599999997
11.381899	96.0	70.147446	-203.47152599999998
11.401899	78.0	70.08253	-221.40661
11.421899	88.0	70.04154	-211.36561999999998
11.441899	92.0	70.0055	-207.32957999999996
11.461899	86.0	69.97573	-213.29980999999998
11.481899	72.0	69.95642	-227.28049999999996
11.501899	94.0	69.88479	-205.20887
11.521899	66.0	69.85612	-233.18019999999999
11.541899	86.0	69.82448	-213.14855999999997
11.561899	78.0	69.81953	-221.14360999999997
11.581899	74.0	69.81976	-225.14383999999998
11.601899	90.0	69.82558	-209.14965999999998
11.621899	72.0	69.83739	-227.16146999999998
11.641899	86.0	69.85566	-213.17973999999998
11.661899	92.0	69.88091	-207.20498999999998
11.681899	96.0	69.91372	-203.2378
11.701899	82.0	69.95471	-217.27879
11.721899	90.0	70.00459	-209.32867
11.7418995	84.0	70.064125	-215.38820499999997
11.761899	78.0	70.1342	-221.45828
11.781899	70.0	70.21823	-229.54231
11.801899	80.0	70.312645	-219.63672499999998
11.821899	82.0	70.420906	-217.74498599999998
11.841899	86.0	70.54438	-213.86845999999997
11.861899	80.0	70.68464	-220.00871999999998
11.881899	78.0	70.84342	-222.16749999999996
11.901899	92.0	71.02274	-208.34681999999998
11.921899	64.0	71.22486	-236.54894
11.941899	76.0	71.45237	-224.77644999999998
11.961899	88.0	71.70823	-213.03231
11.981899	72.0	71.99582	-229.31989999999996
12.001899	68.0	72.31902	-233.64309999999998
12.021899	66.0	72.68229	-236.00636999999998
12.041899	100.0	73.09072	-202.41479999999999
12.061899	68.0	73.55014	-234.87421999999998
12.081899	74.0	74.06723	-229.39130999999998
12.101899	86.0	74.64956	-217.97364
12.121899	82.0	75.30575	-222.62982999999997
12.141899	106.0	76.045525	-199.36960499999998
12.161899	76.0	76.87988	-230.20396
12.181899	92.0	77.821236	-215.14531599999998
12.201899	94.0	78.88355	-214.20763
12.221899	78.0	80.082565	-231.40664499999997
12.2418995	104.0	81.43584	-206.75991999999997
12.261899	90.0	82.962814	-222.28689399999996
12.281899	90.0	84.684746	-224.008826
12.301899	90.0	86.624344	-225.948424
12.321899	104.0	88.805305	-214.12938499999998
12.341899	88.0	91.2514	-232.57547999999997
12.361899	90.0	93.98514	-233.30921999999998
12.381899	82.0	97.02581	-244.34989
12.401899	102.0	100.3867	-227.71078
12.421899	106.0	104.071304	-227.39538399999998
12.441899	110.0	108.068306	-227.392386
12.461899	114.0	112.3454	-227.66947999999996
12.481899	132.0	116.84192	-214.166
12.501899	120.0	121.46114	-230.78521999999998
12.521899	120.0	126.06325	-235.38732999999996
12.541899	132.0	130.46106	-227.78513999999998
12.561899	158.0	134.42136	-205.74543999999997
12.581899	168.0	137.6758	-198.99988
12.601899	148.0	139.95366	-221.27774
12.621899	176.0	141.0351	-194.35917999999998
12.641899	176.0	140.80608	-194.13016
12.661899	202.0	139.29861	-166.62268999999998
12.681899	190.0	136.69931	-176.02338999999998
12.701899	162.0	133.32036	-200.64443999999997
12.721899	146.0	129.54337	-212.86745
12.7418995	116.0	125.75793	-239.08200999999997
12.761899	98.0	122.316536	-253.64061599999997
12.781899	106.0	119.515625	-242.83970499999998
